asset,tf,family,donchian,ma_len,atr_k_entry,atr_k_trail,scale_in_layers,scale_in_gap_atr,partial_tp_r,partial_tp_frac,Sharpe,Sortino,Calmar,MaxDD,ProfitFactor,Ulcer,rsi_len,rsi_low_high,bb_len,bb_dev,mean_exit,max_layers,adx_len,adx_thr,vol_z_thr,hysteresis
EURUSD,1h,V3_TF,40.0,50.0,1.0,1.5,2.0,1.0,2.0,0.33,1.4392224652406822,1.907926865159475,0.9436484995840175,0.06997495060982953,1.9322347965505755,10.861723945297653,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,2.0,3.0,3.0,1.0,2.0,0.33,0.5629962119426822,0.6240774465638634,0.489051574750081,0.2011533084306958,2.3242553786684397,7.6848036081861455,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,1.5,1.5,3.0,1.0,1.5,0.5,1.7142751828445983,2.148497896849717,1.323780880952756,0.054454505439472195,2.279795439339445,8.224279171019452,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,2.0,1.5,2.0,1.2,1.5,0.5,1.9701750209147368,2.2835505074447733,1.8872693221362862,0.15158504166081,1.9736936202798323,7.428223259674725,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,50.0,1.0,2.0,2.0,0.8,2.0,0.33,0.6362666290409631,0.8584873186930544,0.5742020880839113,0.22225979762562603,1.2392482900686388,7.790425183926723,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,2.0,0.0,1.0,1.5,0.5,1.443980861214248,1.8051287191085543,1.3976951291777153,0.17838347724163128,1.4427385752523838,9.667323271486739,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,1.5,0.0,1.2,1.5,0.33,1.9798886543121943,2.5467734751846103,1.5497119103702701,0.07977217323270279,2.2752502015876583,6.029177447239031,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,100.0,2.0,2.0,0.0,0.8,2.0,0.5,1.4917667156130252,1.9527355524263121,0.9648549786570928,0.22848687347820268,1.9970792686889847,9.978576797189472,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.0,1.5,2.0,1.2,2.0,0.33,1.0711523448315325,1.3650900599486038,0.7285876124753242,0.08464605027155073,1.2344857523671389,14.069598259582808,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,3.0,0.0,0.8,1.5,0.5,1.622841008339293,2.264847596840165,1.2850165107769183,0.16399028290449796,1.1419986128643222,9.61159686383128,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,50.0,1.5,2.0,0.0,1.2,1.5,0.5,1.1450521038256705,1.4816208988567852,1.0834971154673945,0.2129518209453558,1.8471838729047745,11.627611163776436,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,2.0,2.0,1.2,2.0,0.5,1.9918616895571146,2.2286476644089626,1.1267787155459332,0.180689072388872,1.6617027772491944,8.440593579805007,,,,,,,,,,
