asset,tf,family,donchian,ma_len,atr_k_entry,atr_k_trail,scale_in_layers,scale_in_gap_atr,partial_tp_r,partial_tp_frac,Sharpe,Sortino,Calmar,MaxDD,ProfitFactor,Ulcer,rsi_len,rsi_low_high,bb_len,bb_dev,mean_exit,max_layers,adx_len,adx_thr,vol_z_thr,hysteresis
EURUSD,1h,V3_TF,40.0,50.0,1.0,1.5,2.0,1.0,2.0,0.33,1.4392224652406822,1.907926865159475,0.9436484995840175,0.06997495060982953,1.9322347965505755,10.861723945297653,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,100.0,1.5,1.5,3.0,1.0,1.5,0.5,1.7142751828445983,2.148497896849717,1.323780880952756,0.054454505439472195,2.279795439339445,8.224279171019452,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,1.5,0.0,1.2,1.5,0.33,1.9798886543121943,2.5467734751846103,1.5497119103702701,0.07977217323270279,2.2752502015876583,6.029177447239031,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,200.0,1.0,1.5,1.0,0.8,2.0,0.5,1.7611201257591473,2.1119655591509097,1.112695747814002,0.0650723581524909,2.193491394331553,12.894852283384946,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,2.0,2.0,1.0,1.0,1.5,0.33,1.360376825363254,1.5824377186349354,1.3044870099691042,0.06660834173353432,1.8800857832123599,5.8254107265124535,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,100.0,1.0,2.0,0.0,0.8,1.5,0.33,1.641125315130351,1.9809527096323336,0.9571192465154716,0.060018953106297325,1.4019821386180338,10.231025843056162,,,,,,,,,,
EURUSD,1h,V3_TF,20.0,50.0,1.5,3.0,0.0,0.8,2.0,0.33,1.8695731243967917,2.4780573011652947,1.4745694138808745,0.09442154306768458,1.5985736843047933,7.28959087683191,,,,,,,,,,
EURUSD,1h,V3_TF,40.0,200.0,1.5,1.5,1.0,0.8,1.5,0.33,1.5294508853655575,1.693644135316278,1.3289085068947961,0.11053844139706855,1.7924234977376514,10.248094889506007,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,2.0,3.0,3.0,1.0,1.5,0.33,1.4799159229603853,1.989039778954845,0.9770601750223783,0.06772217402607382,1.788446707441778,14.429968782525558,,,,,,,,,,
EURUSD,1h,V3_TF,60.0,200.0,2.0,3.0,3.0,1.0,1.5,0.5,1.379140132211461,1.588269159296889,1.0160722285421018,0.05727997449533824,2.1708965285541613,7.792400234023061,,,,,,,,,,
